publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	bestppn
Todavía (Buenos Aires. En línea)	1666-5864	1666-5872	2002						http://www.revistatodavia.com.ar		16665872		fulltext		Fundación OSDE	serial								F	090133846
Wijayakusuma Prosiding Seminar Nasional (Online)		2715-7547	2019						http://ejournal.unugha.ac.id/index.php/jarlit/index		27157547		fulltext		Jaringan Penelitian (JARLIT) Kabupten Cilacap	serial								F	24239034X
Working papers & working atlas		2259-9118	2011						http://geopolitique.hypotheses.org/		22599118		fulltext		[Working papers, working atlas]	serial								F	162250835
Vector European: Revistă ştiinţifico-practică (Online)	2345-1106	2587-358X	2013						http://usem.md/md/p/vector-european		2587358X		fulltext		USEM	serial								F	232984387
Yāftah′hā-yi nuvīn-i ̒ulūm-i dāmī		3116-0689	2026						https://naias.uma.ac.ir/		31160689		fulltext		Dānishgāh-i Muḥaqqiq-i Ardabīlī	serial								F	
Vokal : (Online)		2587-1501	2015						http://www.tau.edu.tr/vokal		25871501		fulltext		Türk - Alman Üniversitesi	serial								F	229741851
Zanj (Online)	2515-2130	2515-2149	2018						https://www.jstor.org/journal/zanjglobsoutstud?refreqid=excelsior%3A152156befc1b429ada88afc9d77651ed		25152149		fulltext	ISSN of preceding title : 2573-0665	Pluto Journals	serial								F	243395957
Wanceulen e.f. digital		1885-5873	2005			2012			http://rabida.uhu.es/dspace/handle/10272/906		18855873		fulltext		Wanceulen Editorial Deportiva	serial								F	17749607X
Water harvesting research (Online)	2476-6976	2476-7603	2016						http://jwhr.birjand.ac.ir/		24767603		fulltext		University of Birjand	serial								F	195683811
Westminster papers in communication and culture (Online)	1744-6708	1744-6716	2004						http://www.westminsterpapers.org/		17446716		fulltext		Westminster Press	serial								F	104882417
Zeitschrift für praktische Philosophie		2409-9961	2014						http://www.praktische-philosophie.org		24099961		fulltext		[s.n.]	serial								F	183252918
Zeszyty Naukowe. Studia i Prace Wydziału Nauk Ekonomicznych i Zarządzania (Uniwersytet Szczeciński. Online)	2080-4881	2300-4096	2008						http://www.wneiz.pl/sip		23004096		fulltext		Wydział Nauk Ekonomicznych i Zarządzania Uniwersytetu Szczecińskiego	serial								F	175150028
Vestnik Severnogo (Arktičeskogo) federalʹnogo universiteta. Seriâ «Gumanitarnye i socialʹnye nauki» (Online)	2227-6564	2687-1505	2012						http://gum.narfu.ru/		26871505		fulltext		Severnyj (Arktičeskij) federalʹnyj universitet imeni M.V. Lomonosova	serial								F	24871726X
Yale review of international studies (Online) (The )	2765-9151	2765-916X	2011						http://yris.yira.org/		2765916X		fulltext		Yale Review of International Studies	serial								F	252294815
Yedi: Sanat, tasarım ve bilim dergisi (Online)		2687-5357	2019						https://dergipark.org.tr/tr/pub/yedi		26875357		fulltext		Dokuz Eylül Üniversitesi	serial								F	243182198
Yudishtira Journal (Online)	2797-9733	2777-0540	2021						http://yudishtira.gapenas-publisher.org/index.php/home		27770540		fulltext		Garuda Prestasi Nusantara Publisher	serial								F	25687011X
Tarlim (Online)	2615-7225	2621-847X	2018						http://jurnal.unmuhjember.ac.id/index.php/TARLIM/index		2621847X		fulltext		Universitas Muhammadiyah Jember	serial								F	229423515
Zero-a-seis		1980-4512	1999						https://periodicos.ufsc.br/index.php/zeroseis/index		19804512		fulltext		Universidade Federal de Santa Catarina, Núcleo de Estudos e Pesquisas da Educação na Pequena Infância	serial								F	116991402
Zīst'sipihr (Tihrān)		2783-3895	2015						https://biosepehrsj.ut.ac.ir/		27833895		fulltext		Anjuman-i ̒ilmī- dānishjūyi-i muḥīṭ-i zīst	serial								F	260054844
Turkish studies- information technologies and applied sciences (Online)		2667-5633	2019						https://turkishstudies.net/appliedsciences		26675633		fulltext		Ankara Bilim Üniversitesi	serial								F	241494761
Türkiye klinikleri nöroloji özel (Online)	1308-1039	2146-863X	2008						http://www.turkiyeklinikleri.com/journal/noroloji-ozel-dergisi/1308-1039/tr-index.html		2146863X		fulltext		Ortadoğu Reklam Tanıtım Yayıncılık	serial								F	232581770
Teoliterária		2236-9937	2011								22369937		fulltext		Associação Latino Americana de Literaturas e Teologia	serial								F	155360590
World Journal of Music Pedagogy (Online)	2774-2210	2774-2237	2021						http://journals.caraka-khatulistiwa.org/index.php/wjmp		27742237		fulltext		CV. Caraka Khatulistiwa	serial								F	253921198
Yarpuz edebiyat dergisi (Online)		2687-2307	2019						http://www.yarpuzedebiyatdergisi.com/		26872307		fulltext		HALİL DEMİR	serial								F	241504368
Yunghap yeongu hakoeji (Online)	2586-5439	2713-7457	2017						https://jts.jams.or.kr/co/com/EgovMenu.kci?s_url=/sj/search/sjSereClasList.kci&s_MenuId=MENU-000000000053000&accnId=		27137457		fulltext		Yunghap Yeongu Hakoe	serial								F	245114874
Théories, méthodes et enjeux de la collaboration		2609-004X	2017						https://fti.hypotheses.org/		2609004X		fulltext		Théories, méthodes et enjeux de la collaboration, la Fabrique des territoires innovants	serial								F	229293867
Zoological letters		2056-306X	2015						http://www.zoologicalletters.com/		2056306X		fulltext		BioMed Central	serial								F	184857511
Tıp fakültesi klinikleri dergisi (Online)	2630-5585	2687-217X	2018						http://tipfakultesiklinikleri.aydin.edu.tr/		2687217X		fulltext		İstanbul Aydın Üniversitesi	serial								F	241504287
Urbain-e-s (Gennevilliers) (Les )		2496-1361	2014						http://urbaines.hypotheses.org/		24961361		fulltext		les Urbain-e-s	serial								F	199153078
Valuta (Online)	2502-1419	2622-6081	2015						http://journal.uir.ac.id/index.php/valuta		26226081		fulltext		Laboratorium Administrasi Bisnis, FISIPOL Universitas Islam Riau	serial								F	230134963
Odontología activa (En línea)	2477-8915	2588-0624	2016						http://oactiva.ucacue.edu.ec/		25880624		fulltext		Universidad Católica de Cuenca, Carrera de Odontología	serial								F	202734862
OECD multi-level governance studies (Online)	2414-6781	2414-679X	2016						http://www.oecd-ilibrary.org/urban-rural-and-regional-development/oecd-multi-level-governance-studies_2414679x		2414679X		fulltext		OECD Publishing	serial								F	192942158
Problemy èndokrinologii (Online)	0375-9660	2308-1430	2013						https://www.probl-endojournals.ru/		23081430		fulltext		NMIC Èndokrinologii MZ RF	serial								F	183635558
Pakistan medical students research journal (Online)	2960-2211	2960-222X	2023						https://www.pmsrj.com/index.php/pmsrj/index		2960222X		fulltext		Khyber Medical College Peshawar	serial								F	271959061
Prace Filologiczne (Online)	0138-0567	2720-5037	2019						https://www.journals.polon.uw.edu.pl/index.php/pf		27205037		fulltext		Uniwersytet Warszawski. Wydział Polonistyki	serial								F	262005603
Pedagogika Rodziny (Łódź. 2011. Online)	2082-8411	2543-862X	2011						http://pedagogika-rodziny.spoleczna.pl		2543862X		fulltext		Społeczna Akademia Nauk	serial								F	201460084
Paramedicine		2753-6386	2023						https://journals.sagepub.com/home/PAM		27536386		fulltext	ISSN of preceding title : 2202-7270	SAGE	serial								F	263958795
Poisonous plant research		2692-6709	2018						https://digitalcommons.usu.edu/poisonousplantresearch/		26926709		fulltext		Utah State University	serial								F	248317083
Prague Journal of English Studies (On-line)	1804-8722	2336-2685	2012						https://webkajl.pedf.cuni.cz/journal/		23362685		fulltext		Charles University, Faculty of Education	serial								F	175969744
Mamak meslek (Online)		2980-2547	2023						http://meb.ai/94EYvA		29802547		fulltext		Ankara Mamak İlçe Milli Eğitim Müdürlüğü	serial								F	27295070X
Politehnika (Online)	2584-5373	2584-6264	2017						https://hrcak.srce.hr/politehnika		25846264		fulltext		Sveučilište u Rijeci	serial								F	225261219
Política, globalidad y ciudadanía		2395-8448	2015						http://revpoliticas.uanl.mx/RPGyC/index.php/RPGyC		23958448		fulltext		Universidad Autónoma de Nuevo León	serial								F	184176719
