Sourcerecord ID,Source Title,ISSN,EISSN,Active or Inactive,Coverage,Article Language in Source (Three-Letter ISO Language Codes),Source Type,Title History Indication,Related Title 1,Other Related Title 2,Other Related Title 3,Other Related Title 4,Added to List June 2026
21101170611,@GRH,20349130,22959149,Active,2026; 2023-2024,ENG; FRE,Journal,,,,,,
21100902951,[Hifu] Skin research,00181390,,Inactive,1959-2001,JPN,Journal,Continued as,Skin Research,,,,
26063,[Rinsho ketsueki] The Japanese journal of clinical hematology,04851439,18820824,Inactive,1972-2016,,Journal,,,,,,
40160,[Zasshi] [Journal]. Nihon Kyobu Geka Gakkai,03694739,,Inactive,1972-1997,JPN,Journal,Continued as,Japanese Journal of Thoracic and Cardiovascular Surgery,,,,
21100832755,1700-tal: Nordic Journal for Eighteenth-Century Studies,16524772,20019866,Active,2019-2024; 2016-2017,DAN; FIN; GER; NOR,Journal,,,,,,
21101194408,20 & 21: Revue d'Histoire,2649664X,26496100,Active,2022-2024,ENG; FRE,Journal,Formerly known as,Vingtieme Siecle: Revue d'Histoire,,,,
18500162600,21st Century Music,15343219,,Inactive,2002-2011,ENG,Journal,,,,,,
21100404576,2D Materials,,20531583,Active,2014-2026,ENG,Journal,,,,,,
21100447128,3 Biotech,2190572X,21905738,Active,2011-2026,ENG,Journal,,,,,,
21100779062,3D Printing and Additive Manufacturing,23297662,23297670,Active,2014-2026,ENG,Journal,,,,,,
21100932761,3D Printing in Medicine,,23656271,Active,2016-2026,ENG,Journal,,,,,,
21100229836,3D Research,,20926731,Inactive,2010-2019,ENG,Journal,,,,,,
19700200922,"3L: Language, Linguistics, Literature",01285157,25502247,Active,2008-2026,ENG,Journal,,,,,,
21101005201,452ºF,,20133294,Active,2019-2025,CAT; SPA,Journal,,,,,,
145295,4OR,16194500,16142411,Active,2003-2026,ENG,Journal,,,,,,
16400154734,A + U-Architecture and Urbanism,03899160,,Active,2002-2026,ENG; JPN,Journal,,,,,,
21100399164,A and A Case Reports,,23257237,Inactive,2013-2017,,Journal,Continued as,A and A Practice,,,,
21100881366,A and A Practice,,25753126,Active,2017-2026,ENG,Journal,Formerly known as,A and A Case Reports,,,,
5700161051,A Contrario,16607880,16628667,Inactive,2020-2023; 2009-2018; 2003-2007,ENG; FRE,Journal,,,,,,
21101076713,A e C - Revista de Direito Administrativo e Constitucional,15163210,19844182,Active,2019-2025,ENG; FRE; POR; SPA,Journal,,,,,,
15299,A Journal of emergency medical services : JEMS,01972510,,Inactive,1980-2016,,Journal,Formerly known as,Paramedics international,,,,
4000149613,A journal of Jewish medical ethics and halacha,,,Inactive,2005,,Journal,Formerly known as,"Assia, Jewish medical ethics",,,,
19400157806,A. M. A. Archives of Dermatology,00965359,23756772,Inactive,1955-1960,ENG,Journal,Continued as,A. M. A. archives of dermatology and syphilology,Archives of Dermatology,,,
19600162081,A. M. A. archives of dermatology and syphilology,00965979,23756780,Inactive,1950-1955,,Journal,Continued as,Archives of Dermatology and Syphilology,A. M. A. Archives of Dermatology,,,
